instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp01_0,0.48814645376089816,4,2,0.5
3l_cvrp01_1,0.604332154984194,5,1,0.2
3l_cvrp01_2,0.48814645376089816,4,2,0.5
3l_cvrp01_3,0.5330786900223498,4,1,0.25
3l_cvrp01_4,0.6808648551316316,5,0,0.0
3l_cvrp01_5,0.604332154984194,5,1,0.2
3l_cvrp01_6,0.48814645376089805,4,2,0.5
3l_cvrp01_7,0.5330786900223498,4,1,0.25
3l_cvrp01_8,0.6696163572337954,5,0,0.0
3l_cvrp01_9,0.604332154984194,5,1,0.2
3l_cvrp02_0,0.43022207685517955,5,1,0.2
3l_cvrp02_1,0.42151809633922754,5,2,0.4
3l_cvrp02_2,0.5710751580640843,6,0,0.0
3l_cvrp02_3,0.44663055610248176,6,1,0.16666666666666666
3l_cvrp02_4,1.1102335813416986,6,0,0.0
3l_cvrp02_5,0.23423783874265047,6,0,0.0
3l_cvrp02_6,0.6066639808842735,6,1,0.16666666666666666
3l_cvrp02_7,0.7097858764539395,5,0,0.0
3l_cvrp02_8,0.6306530335271088,5,1,0.2
3l_cvrp02_9,0.4873668401405599,6,1,0.16666666666666666
3l_cvrp03_0,0.4418144249876755,5,3,0.6
3l_cvrp03_1,1.1701104261232347,5,1,0.2
3l_cvrp03_2,0.6536869361288986,5,0,0.0
3l_cvrp03_3,0.6543540664441296,5,1,0.2
3l_cvrp03_4,1.4703676340277212,6,1,0.16666666666666666
3l_cvrp03_5,0.9276771127239318,5,0,0.0
3l_cvrp03_6,0.843322580312375,5,0,0.0
3l_cvrp03_7,0.5502552497060176,5,2,0.4
3l_cvrp03_8,0.8524445434631893,5,0,0.0
3l_cvrp03_9,0.7916528997991312,5,1,0.2
3l_cvrp04_0,0.5515793599379879,7,0,0.0
3l_cvrp04_1,0.43513019632008626,6,2,0.3333333333333333
3l_cvrp04_2,0.9735830058892585,7,0,0.0
3l_cvrp04_3,0.7452408607844555,7,1,0.14285714285714285
3l_cvrp04_4,0.5398977658593188,6,1,0.16666666666666666
3l_cvrp04_5,0.6743448741331592,7,2,0.2857142857142857
3l_cvrp04_6,0.4285007165653639,7,1,0.14285714285714285
3l_cvrp04_7,0.9081156029265303,7,1,0.14285714285714285
3l_cvrp04_8,0.3104661458647183,7,2,0.2857142857142857
3l_cvrp04_9,0.5061333092020521,6,0,0.0
3l_cvrp05_0,0.4514836389436229,6,1,0.16666666666666666
3l_cvrp05_1,0.35147386139885417,6,2,0.3333333333333333
3l_cvrp05_2,0.4544501872799771,6,0,0.0
3l_cvrp05_3,0.4399702096605445,6,1,0.16666666666666666
3l_cvrp05_4,0.5841687597239024,6,2,0.3333333333333333
3l_cvrp05_5,0.4740164287441502,6,3,0.5
3l_cvrp05_6,0.43538297164445555,7,0,0.0
3l_cvrp05_7,0.3742175155077084,7,2,0.2857142857142857
3l_cvrp05_8,0.4590950943943433,7,2,0.2857142857142857
3l_cvrp05_9,0.458805068157167,7,2,0.2857142857142857
3l_cvrp06_0,0.3608024375826434,7,1,0.14285714285714285
3l_cvrp06_1,0.681567281542815,6,0,0.0
3l_cvrp06_2,0.5890902548509486,6,0,0.0
3l_cvrp06_3,0.415751323693429,6,1,0.16666666666666666
3l_cvrp06_4,0.6911040698452904,7,0,0.0
3l_cvrp06_5,0.601360240396314,6,1,0.16666666666666666
3l_cvrp06_6,0.7529126009807875,7,1,0.14285714285714285
3l_cvrp06_7,0.5090245410407926,7,1,0.14285714285714285
3l_cvrp06_8,0.4969625408218015,7,0,0.0
3l_cvrp06_9,0.6893045977420625,6,1,0.16666666666666666
3l_cvrp07_0,0.6418944217366805,6,0,0.0
3l_cvrp07_1,0.5786879822808402,6,1,0.16666666666666666
3l_cvrp07_2,0.9692342426231907,6,0,0.0
3l_cvrp07_3,0.7066061999530557,6,0,0.0
3l_cvrp07_4,0.8578936501202671,7,0,0.0
3l_cvrp07_5,0.7615466753456085,6,0,0.0
3l_cvrp07_6,0.7071202696481251,7,0,0.0
3l_cvrp07_7,0.5369382743394826,6,0,0.0
3l_cvrp07_8,0.8830755921252479,6,0,0.0
3l_cvrp07_9,0.8501114672861639,6,0,0.0
3l_cvrp08_0,1.4278208990250327,6,1,0.16666666666666666
3l_cvrp08_1,0.6087431828723185,7,2,0.2857142857142857
3l_cvrp08_2,0.3985975003352772,7,2,0.2857142857142857
3l_cvrp08_3,0.6242451032051332,6,1,0.16666666666666666
3l_cvrp08_4,0.7264289273015386,6,3,0.5
3l_cvrp08_5,0.7060942163305894,7,1,0.14285714285714285
3l_cvrp08_6,1.526832085767163,6,0,0.0
3l_cvrp08_7,1.1919838214805203,7,3,0.42857142857142855
3l_cvrp08_8,1.3492302457527583,6,2,0.3333333333333333
3l_cvrp08_9,0.7309608757112995,7,2,0.2857142857142857
3l_cvrp09_0,0.5011697011532926,10,2,0.2
3l_cvrp09_1,0.535879245405147,9,2,0.2222222222222222
3l_cvrp09_2,0.3722890200354808,9,1,0.1111111111111111
3l_cvrp09_3,0.3226388128202874,10,4,0.4
3l_cvrp09_4,0.6593230213441882,9,0,0.0
3l_cvrp09_5,0.8441248430554684,9,1,0.1111111111111111
3l_cvrp09_6,0.5595695562982806,11,1,0.09090909090909091
3l_cvrp09_7,0.5200979243507694,9,1,0.1111111111111111
3l_cvrp09_8,0.5444390429111873,9,1,0.1111111111111111
3l_cvrp09_9,0.4456787832841862,9,2,0.2222222222222222
3l_cvrp10_0,0.8080664500130668,8,0,0.0
3l_cvrp10_1,0.770367986185851,8,1,0.125
3l_cvrp10_2,0.6082790131867255,8,0,0.0
3l_cvrp10_3,0.43673092590943696,8,1,0.125
3l_cvrp10_4,1.241639851033269,8,1,0.125
3l_cvrp10_5,0.7754518143808368,8,1,0.125
3l_cvrp10_6,0.9475048752024439,8,0,0.0
3l_cvrp10_7,1.1003796003317492,7,0,0.0
3l_cvrp10_8,0.7883504699482665,8,0,0.0
3l_cvrp10_9,0.8485313888813332,8,0,0.0
3l_cvrp11_0,0.3164010516484362,8,3,0.375
3l_cvrp11_1,0.8006035368584649,8,1,0.125
3l_cvrp11_2,0.524262918883476,8,2,0.25
3l_cvrp11_3,0.2277600292091997,7,4,0.5714285714285714
3l_cvrp11_4,0.6180580366240513,8,2,0.25
3l_cvrp11_5,0.7150818570971005,8,3,0.375
3l_cvrp11_6,1.231498928866653,8,2,0.25
3l_cvrp11_7,0.5952767845319415,8,3,0.375
3l_cvrp11_8,0.5311070051549087,8,2,0.25
3l_cvrp11_9,0.4446183148358195,8,2,0.25
3l_cvrp12_0,0.5041036316870684,10,2,0.2
3l_cvrp12_1,0.7178105505015295,11,1,0.09090909090909091
3l_cvrp12_2,0.7157357565197462,10,2,0.2
3l_cvrp12_3,0.8793976535713575,11,0,0.0
3l_cvrp12_4,0.6945052986372783,10,3,0.3
3l_cvrp12_5,0.8977200885261775,10,0,0.0
3l_cvrp12_6,0.6553207595674213,10,1,0.1
3l_cvrp12_7,0.6877053810062181,10,0,0.0
3l_cvrp12_8,1.0958642254325996,11,0,0.0
3l_cvrp12_9,0.7973010810277962,10,0,0.0
3l_cvrp13_0,0.46777432373783506,7,2,0.2857142857142857
3l_cvrp13_1,0.5678054126457907,8,4,0.5
3l_cvrp13_2,0.4783029840276773,8,4,0.5
3l_cvrp13_3,1.0797293988342254,8,2,0.25
3l_cvrp13_4,0.8331254726118402,7,2,0.2857142857142857
3l_cvrp13_5,0.2353249847948148,8,3,0.375
3l_cvrp13_6,0.47912714726000943,8,3,0.375
3l_cvrp13_7,0.7072372059924621,8,4,0.5
3l_cvrp13_8,0.4176673866617655,8,4,0.5
3l_cvrp13_9,0.6715947002281539,8,1,0.125
3l_cvrp14_0,0.8031554177294962,9,2,0.2222222222222222
3l_cvrp14_1,0.576197086454707,8,2,0.25
3l_cvrp14_2,0.6926349495588159,8,1,0.125
3l_cvrp14_3,0.6418947171869209,9,2,0.2222222222222222
3l_cvrp14_4,0.768584919747053,8,1,0.125
3l_cvrp14_5,0.46841447929810964,8,4,0.5
3l_cvrp14_6,0.5697305769061015,9,1,0.1111111111111111
3l_cvrp14_7,0.5249567939189792,8,2,0.25
3l_cvrp14_8,0.38073725465799635,9,1,0.1111111111111111
3l_cvrp14_9,0.37990998616084304,8,2,0.25
3l_cvrp15_0,0.3126510285089787,7,2,0.2857142857142857
3l_cvrp15_1,0.5868715664177148,8,1,0.125
3l_cvrp15_2,0.5243651605952102,8,3,0.375
3l_cvrp15_3,0.3042733174117448,7,3,0.42857142857142855
3l_cvrp15_4,0.34733856758307297,8,0,0.0
