instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp01,0.5694074418645403,4.5,1.1,0.26
3l_cvrp02,0.5648387038451204,5.6,0.7,0.13
3l_cvrp03,0.8355685873716304,5.1,0.9,0.1766666666666667
3l_cvrp04,0.6072991837482931,6.7,1.0,0.15
3l_cvrp05,0.44830637354547254,6.4,1.5,0.23571428571428568
3l_cvrp06,0.5787879888496885,6.5,0.6,0.09285714285714285
3l_cvrp07,0.7493108775458662,6.2,0.1,0.016666666666666666
3l_cvrp08,0.9290936857781631,6.5,1.7,0.2595238095238095
3l_cvrp09,0.5305209950658287,9.4,1.5,0.15797979797979797
3l_cvrp10,0.8325302375072979,7.9,0.4,0.05
3l_cvrp11,0.6004668463710052,7.9,2.4,0.3071428571428571
3l_cvrp12,0.7645464426477192,10.3,0.9,0.08909090909090908
3l_cvrp13,0.5937689016794575,7.8,2.9,0.3696428571428571
3l_cvrp14,0.5806216181619023,8.4,1.8,0.2166666666666667
3l_cvrp15,0.47200450420800977,7.8,2.0,0.25892857142857145
3l_cvrp16,0.5905798673400166,12.1,1.2,0.1
3l_cvrp18,0.868821404640561,12.3,1.8,0.1469114219114219
3l_cvrp19,0.5180206495840898,11.8,1.6,0.13484848484848483
3l_cvrp21,0.514482632865749,18.8,4.2,0.22372549019607843
3l_cvrp23,0.4932401840741483,19.0,4.1,0.2155342902711324
3l_cvrp25,0.6509492463923763,24.1,3.3,0.13685257215991847
3l_cvrp26,0.5121297120358094,27.8,5.7,0.2085044257024235
